client_id,age,job,marital,education,credit_default,mortgage
0,56,housemaid,married,basic_4y,0,2
1,57,services,married,high_school,,2
2,37,services,married,high_school,0,1
3,40,admin,married,basic_6y,0,2
4,56,services,married,high_school,0,2
5,45,services,married,basic_9y,,2
6,59,admin,married,professional_course,0,2
7,41,blue_collar,married,unknown,,2
8,24,technician,single,professional_course,0,1
9,25,services,single,high_school,0,1
10,41,blue_collar,married,unknown,,2
11,25,services,single,high_school,0,1
12,29,blue_collar,single,high_school,0,2
13,57,housemaid,divorced,basic_4y,0,1
14,35,blue_collar,married,basic_6y,0,1
15,54,retired,married,basic_9y,,1
16,35,blue_collar,married,basic_6y,0,1
17,46,blue_collar,married,basic_6y,,1
18,50,blue_collar,married,basic_9y,0,1
19,39,management,single,basic_9y,,2
20,30,unemployed,married,high_school,0,2
21,55,blue_collar,married,basic_4y,,1
22,55,retired,single,high_school,0,1
23,41,technician,single,high_school,0,1
24,37,admin,married,high_school,0,1
25,35,technician,married,university_degree,0,2
26,59,technician,married,unknown,0,1
27,39,self_employed,married,basic_9y,,2
28,54,technician,single,university_degree,,2
29,55,unknown,married,university_degree,,
30,46,admin,married,unknown,0,2
31,59,technician,married,unknown,0,1
32,49,blue_collar,married,unknown,0,2
33,54,management,married,basic_4y,,1
34,54,blue_collar,divorced,basic_4y,0,2
35,55,unknown,married,basic_4y,,1
36,34,services,married,high_school,0,2
37,52,technician,married,basic_9y,0,1
38,41,admin,married,university_degree,0,1
39,56,technician,married,basic_4y,0,1
40,58,management,unknown,university_degree,0,1
41,32,entrepreneur,married,high_school,0,1
42,38,admin,single,professional_course,0,2
43,57,admin,married,university_degree,0,2
44,44,admin,married,university_degree,,1
45,42,technician,single,professional_course,,2
46,57,admin,married,university_degree,0,1
47,40,blue_collar,married,basic_9y,0,2
48,35,admin,married,university_degree,0,1
49,45,blue_collar,married,basic_9y,0,1
50,54,admin,married,high_school,0,2
51,39,housemaid,married,basic_4y,0,2
52,60,admin,married,high_school,0,2
53,53,admin,single,professional_course,0,2
54,55,blue_collar,married,basic_4y,,2
